Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A009900,명신산업,12,2023,Annual,"535,155,557","509,720,441","1,044,875,998"
A009900,명신산업,12,2024,Annual,,,
A005250,녹십자홀딩스,12,2011,Annual,"895,760,382","3,707,456,322","4,603,216,704"
A005250,녹십자홀딩스,12,2012,Annual,"972,827,321","473,509,897","1,446,337,218"
A005250,녹십자홀딩스,12,2013,Annual,"1,099,667,146","524,457,217","1,624,124,363"
A005250,녹십자홀딩스,12,2014,Annual,"1,181,067,099","609,807,797","1,790,874,896"
A005250,녹십자홀딩스,12,2015,Annual,"1,307,378,785","751,282,335","2,058,661,120"
A005250,녹십자홀딩스,12,2016,Annual,"1,377,011,145","872,266,114","2,249,277,259"
A005250,녹십자홀딩스,12,2017,Annual,"1,439,667,556","1,121,028,362","2,560,695,918"
A005250,녹십자홀딩스,12,2018,Annual,"1,453,116,547","1,175,483,426","2,628,599,972"
A005250,녹십자홀딩스,12,2019,Annual,"1,506,596,204","1,267,272,303","2,773,868,507"
A005250,녹십자홀딩스,12,2020,Annual,"1,673,500,719","1,567,701,359","3,241,202,077"
A005250,녹십자홀딩스,12,2021,Annual,"1,910,728,954","1,586,104,973","3,496,833,927"
A005250,녹십자홀딩스,12,2022,Annual,"1,967,043,519","1,625,017,216","3,592,060,735"
A005250,녹십자홀딩스,12,2023,Annual,"1,881,541,820","1,856,165,582","3,737,707,402"
A005250,녹십자홀딩스,12,2024,Annual,,,
A000640,동아쏘시오홀딩스,12,2011,Annual,"862,394,230","630,847,822","1,493,242,052"
A000640,동아쏘시오홀딩스,12,2012,Annual,"881,241,645","841,867,115","1,723,108,761"
A000640,동아쏘시오홀딩스,12,2013,Annual,"514,604,332","473,675,391","988,279,723"
A000640,동아쏘시오홀딩스,12,2014,Annual,"534,478,522","546,591,139","1,081,069,661"
A000640,동아쏘시오홀딩스,12,2015,Annual,"602,641,535","620,876,555","1,223,518,090"
A000640,동아쏘시오홀딩스,12,2016,Annual,"875,857,423","526,358,097","1,402,215,520"
A000640,동아쏘시오홀딩스,12,2017,Annual,"914,248,453","545,196,825","1,459,445,277"
A000640,동아쏘시오홀딩스,12,2018,Annual,"735,763,001","506,169,780","1,241,932,782"
A000640,동아쏘시오홀딩스,12,2019,Annual,"746,903,866","611,673,079","1,358,576,945"
A000640,동아쏘시오홀딩스,12,2020,Annual,"888,723,631","622,382,702","1,511,106,333"
A000640,동아쏘시오홀딩스,12,2021,Annual,"985,040,574","706,347,762","1,691,388,336"
